cu_id;kategorie;curve_skewness;area_total;slope_rising;slope_falling;global_max_x;global_min_x;Top1_Minima_Druck;Peak_to_Minima_Diff;cluster;PCA1;PCA2
76;5;1.2870749617413977;719.505955814841;174.67647791926308;-89.01749148390554;0.5950625538825989;0.4628125131130219;-2.369091987609863;515.7867555618286;1;1.1037863153183096;-0.5187997465777928
77;5;1.2513559871846451;706.5768055529031;60.518147973732596;-39.473383050684;0.6338750123977661;0.4829375147819519;-2.305739641189575;490.18958973884577;1;3.1509358818972224;0.1981923302499844
78;5;1.2578849257792464;708.9779343985159;117.46720963419635;-70.08281380938556;0.6036875247955322;0.4728750288486481;-2.332788944244385;495.7218880653382;1;1.9022744804017824;-0.2087305783894423
79;5;1.2611688916566661;711.3918517605802;72.24244749858218;-67.10681160865663;0.6248125433921814;0.4829375147819519;-2.354855537414551;498.2438631057739;1;2.6934857188765875;-0.04153147548617513
80;5;1.2501166011188976;710.0241582231512;59.19741880219586;-99.96867020654189;0.6145000457763672;0.4728750288486481;-2.302180528640747;495.88988804817194;1;2.2027802232843547;0.050354010757317796
81;5;1.2351845733077014;698.8145863304383;55.0726601827671;-56.37988277489997;0.6238125562667847;0.4829375147819519;-2.295773983001709;484.1874976158142;1;2.920667267810519;0.1487458302729386
82;5;1.253044298632567;709.8772224331369;41.856391329495686;-97.65790292055763;0.6137500405311584;0.4728750288486481;-2.186153173446655;493.7458760738373;1;2.2307316087029716;0.2036754417050381
83;5;1.2458272772773535;711.8264638334367;55.29116338412378;-73.68525853015062;0.6238125562667847;0.4829375147819519;-2.22957444190979;492.4204313755036;1;2.7470836284467826;0.15733547845274476
84;5;1.246493002724379;711.9854104150533;70.59747306318526;-88.84911488829852;0.6137500405311584;0.4728750288486481;-2.271572113037109;493.00341415405273;1;2.229609301545078;0.07982827314290979
85;5;1.2357303591627862;712.4523303308026;82.49529177262633;-59.90869124937666;0.6238125562667847;0.4930000305175781;-2.263030290603638;491.98767018318176;1;2.928541031544377;-0.019685086976230372
86;5;1.2360113087851754;709.4935850062097;135.46335017774894;-54.3612466892066;0.6095000505447388;0.4628125131130219;-2.216761589050293;490.2529554367065;1;2.0113661818476865;0.09563256780461002
87;5;1.2853679780724072;702.690526605112;179.23675593081919;-191.12573842269052;0.5983125567436218;0.4930000305175781;-4.051131248474121;524.5308065414429;1;1.2994550837092906;-2.5840503758161786
88;5;1.360360608625097;735.8830871925754;194.57276811761605;-85.8433488724744;0.5634375214576721;0.432625025510788;-2.483695507049561;534.3860392570496;0;-0.5948960181116687;-0.7032760159290545
89;5;1.3699259644693729;704.6148697397721;519.4106639892667;-76.71765953287802;0.593625009059906;0.4829375147819519;-2.919331789016724;542.851033449173;0;0.5707071423446776;-2.8725872896126696
90;5;1.282366465268214;1185.0533434513954;264.84818831780404;-98.99992003340826;0.5735000371932983;0.3320000171661377;-2.324958801269531;729.3865432739258;2;-4.660794275881565;2.1996804588232397
91;5;1.5017630852181891;930.6677026586465;511.24028183780996;-48.98575414196101;0.5533750057220459;0.4225625097751617;-2.456646203994751;741.0561945438385;2;-3.9418685080254767;-1.6382344964356583
92;5;1.4211178357934058;885.6482933449315;150.81801434655642;-66.77937809685434;0.5332500338554382;0.3823125064373016;-3.355679750442505;661.0180332660675;2;-3.7045804933382813;-0.4780052899018142
93;5;1.2927352512098051;1167.1676525302694;88.2404024560531;-191.95084775801973;0.5795000195503235;0.3320000171661377;-1.851595997810364;720.4175750017166;2;-4.424253196261969;2.935023058781987
94;5;1.5111446195214673;936.7122238003107;233.66021733368672;-265.069665660231;0.5685000419616699;0.432625025510788;-4.43409252166748;761.1388654708862;2;-3.8510546071471534;-2.8182480181895064
95;5;1.3809299404900228;979.7527806115877;83.76495550451726;-159.0945202314878;0.5634375214576721;0.3521250188350677;-1.949115753173828;694.6915473937988;2;-3.97564485222833;1.648160107958398
96;5;1.2804552625192158;1182.2845644553704;134.4946876070173;-147.88270381855284;0.5735000371932983;0.3320000171661377;-1.830241203308105;722.9111127853394;2;-4.555296555016099;2.960955558187143
97;5;1.5169662946818971;910.6479582446083;299.9363107630727;-138.28330620437592;0.5615625381469727;0.4225625097751617;-4.308099746704102;741.3900699615479;2;-3.673695568853456;-2.6315278537087963
